0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:23:03 +0900] "GET /setp01_HTMLCS/HTML/tableTag.html HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:23:03 +0900] "GET /setp01_HTMLCS/HTML/ex01_pre_xmp.html HTTP/1.1" 200 1073
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:23:13 +0900] "GET /setp01_HTMLCS/HTML/ex06_iframe.html HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:23:13 +0900] "GET /setp01_HTMLCS/HTML/tableTag.html HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:23:27 +0900] "GET /setp01_HTMLCS/HTML/ex06_iframe.html HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:23:27 +0900] "GET /setp01_HTMLCS/HTML/tableTag.html HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:23:43 +0900] "GET /setp01_HTMLCS/HTML/ex06_iframe.html HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:23:43 +0900] "GET /setp01_HTMLCS/HTML/ex03_tableTag.html HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:23:52 +0900] "GET /setp01_HTMLCS/HTML/ex06_iframe.html HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:24:03 +0900] "GET /setp01_HTMLCS/HTML/ex06_iframe.html HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:24:03 +0900] "GET /setp01_HTMLCS/HTML/ex_03tableTag.html HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:24:34 +0900] "GET /setp01_HTMLCS/HTML/ex06_iframe.html HTTP/1.1" 200 589
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:24:34 +0900] "GET /setp01_HTMLCS/HTML/ex_03tableTag.html HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:25:07 +0900] "GET /setp01_HTMLCS/HTML/ex06_iframe.html HTTP/1.1" 200 613
